prompt_id,question,domain,type,n_samples,n_correct,n_hallu,n_refused,n_illogical,n_definitive,frac_correct,frac_hallu,frac_refused,frac_illogical,hall_rate_strict,hall_rate_naive,H_sem,D_cos,M_bar,K,sig2_S,label
halueval_00000_t1.0,"Context:  He also played non-league football for Grantham Town, Boston United, Shepshed Albion, Harworth Colliery Institute, Brigg Town, Armthorpe Welfare, Glapwell, Collingham (Notts) and Retford United.Grantham Town Football Club is a football club, based in Grantham, Lincolnshire, England.

Question: Simon WIlliam Gamble played non league football for what club located in Lincolnshire, England?",General Knowledge,qa,20,16,3,0,1,19,0.8,0.15,0.0,0.05,0.15789473684210525,0.19999999999999996,2.346439344659474,0.1801951676607132,23.38996124267578,8,0.07126235216856003,0
halueval_00001_t1.0,"Context: Janggi (including romanizations changgi and jangki), sometimes called Korean chess, is a strategy board game popular in Korea. The game derived from xiangqi (Chinese chess) and is very similar to it, including the starting position of the pieces, and the 9×10 gameboard, but without the xiangqi ""river"" dividing the board horizontally in the middle.Isola is a two-player abstract strategy board game. It is played on a 7x7 board which is initially filled with squares, except at the starting positions of the pieces.

Question: Both Janggi and Isola are board-based strategy games; however, which game is played on a 9x10 gameboard similar to Chinese Chess?",General Knowledge,qa,20,19,0,1,0,19,0.95,0.0,0.05,0.0,0.0,0.050000000000000044,0.28639695711307084,0.04260910302400589,18.584278106689453,2,0.05947049334645271,0
halueval_00002_t1.0,"Context: Jang Hoon (born May 4, 1975) is a South Korean film director. It was selected as the South Korean entry for the Best Foreign Language Film at the 90th Academy Awards.

Question: Where was the film A Taxi Driver released?",General Knowledge,qa,20,20,0,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.28639695711307084,0.015780892223119736,15.657295227050781,2,0.006130440626293421,0
halueval_00003_t1.0,"Context: Mr. Wong, Detective is a 1938 American crime film directed by William Nigh and starring Boris Karloff in his first appearance as Mr. Wong.William Henry Pratt (23 November 1887 – 2 February 1969), better known by his stage name Boris Karloff, was an English actor who was primarily known for his typecast roles in horror films that depicted the characters Frankenstein and the Mummy.

Question: Mr. Wong, Detective is a 1938 American crime film directed by William Nigh and starring who, was an English actor who was primarily known for his typecast roles in horror films that depicted the characters Frankenstein and the Mummy?",Arts & Literature,qa,20,20,0,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,-1.4428232973175175e-12,0.0016834199195727706,17.018720626831055,1,5.3636897064279765e-05,0
halueval_00004_t1.0,"Context: The Many Adventures of Winnie the Pooh is a 1977 American animated film produced by Walt Disney Productions and distributed by Buena Vista Distribution.King of the Grizzlies is a 1970 American adventure film directed by Ron Kelly and written by Jack Speirs, Rod Peterson and Norman Wright.

Question: What film came first, King of the Grizzlies or The Many Adventures of Winnie the Pooh?",Arts & Literature,qa,20,5,11,0,4,16,0.25,0.55,0.0,0.2,0.6875,0.75,1.68048202371607,0.1663476973772049,29.801733016967773,4,0.07361510396003723,1
halueval_00005_t1.0,"Context:  The first series aired in April 2010, presented by Marco Pierre White.Marco Pierre White (born 11 December 1961) is a British chef, restaurateur, and television personality from Leeds.

Question: What is the nationality of the person who presented the first series of ""Kitchen Burnout""?",General Knowledge,qa,20,20,0,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,-1.4428232973175175e-12,0.007097947411239147,15.341897964477539,1,0.0009484473848715425,0
halueval_00006_t1.0,"Context:  Chetty represented South Africa at the 2008 Summer Olympics in Beijing, where she competed in two sabre events. It is one of the country's three capital cities, serving as the seat of the executive branch of government (Cape Town is the legislative capital and Bloemfontein the judicial capital).

Question: What sport did Jyoti Chetty of one of the country's three capital cities represent South Africa in at the 2008 summer Olympics?",General Knowledge,qa,20,20,0,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,1.0219280948815916,0.0385686419904232,18.53467559814453,4,0.00912967137992382,0
halueval_00007_t1.0,"Context: KCFO (970 AM) is a Tulsa, Oklahoma, area Christian radio station. KCFO airs national shows such as Dave Ramsey, J. Vernon McGee, David Jeremiah, Dennis Rainey, and Albert Mohler.Richard Albert Mohler Jr. (born October 19, 1959), is an American historical theologian and the ninth president of the Southern Baptist Theological Seminary in Louisville, Kentucky. He has been described as ""one of America's most influential evangelicals"".

Question: KCFO (970 AM) airs the show of an American historical theologian that has been described as what?",Philosophy & Religion,qa,20,20,0,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.28639695711307084,0.016380880028009415,19.55434226989746,2,0.002363203326240182,0
halueval_00008_t1.0,"Context: NBA Access with Ahmad Rashad is an American television program which initially aired on Saturday afternoons on ABC.Ahmad Rashād (born Robert Earl Moore; November 19, 1949) is an American sportscaster (mostly with NBC Sports) and former professional football player.

Question: NBA Access with Ahmad Rashad, an American sportscaster (mostly with NBC Sports) and former professional football player, is an American television program which initially aired on Saturday afternoons on which channel?",General Knowledge,qa,20,20,0,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,-1.4428232973175175e-12,0.0014072090853005648,16.112905502319336,1,7.889803237048909e-05,0
halueval_00009_t1.0,"Context: Audre Lorde ( ; born Audrey Geraldine Lorde; February 18, 1934 – November 17, 1992) was a writer, feminist, womanist, librarian, and civil rights activist.David John Moore Cornwell (born 19 October 1931), known by the pseudonym John le Carré ( ), is a British author of espionage novels.

Question: Who worked for both the Security Service and the Secret Intelligence Service, and began writing novels under his pen name, Audre Lorde or John le Carré?",Arts & Literature,qa,20,18,2,0,0,20,0.9,0.1,0.0,0.0,0.1,0.09999999999999998,2.1414460711568655,0.1729409247636795,22.97346305847168,6,0.06031486764550209,0
